Case #1: 15 60 75
Case #2: 9 9 12 15
Case #3: 126 918 1005 1977
Case #4: 219 696 783 1644
Case #5: 84 591 2457 2799
Case #6: 171465507 343503135 571277913 641027916
Case #7: 492 591 873 1929
Case #8: 72 396 1566 1707
Case #9: 633 912 1155 2838
Case #10: 200609847 320326200 420432561 472101438
Case #11: 747 1551 2028 2799
Case #12: 18385035 106135191 165309549 622098174
Case #13: 1185 1374 2712 2988
Case #14: 306 2400 2436 2883
Case #15: 110528838 412221996 535659243 678160419
Case #16: 657 906 1074 2796
Case #17: 222 1164 2487 2883
Case #18: 12 708 990 1347
Case #19: 8235 14640 23652 42048
Case #20: 489 783 1119 1530
Case #21: 1056 1680 1890 2010
Case #22: 783 1392 10854 19296
Case #23: 756 1152 2232 2595
Case #24: 4752 18765 25020 33360
Case #25: 500956149 506268234 596445150 692123766
Case #26: 1245 1434 1797 2337
Case #27: 696 1275 2316 2883
Case #28: 269730681 396962598 626958030 696864480
Case #29: 1488 1500 2331 2748
Case #30: 6534 11616 25407 45168
Case #31: 279 720 1308 1590
Case #32: 11637 15876 20688 28224
Case #33: 114310635 165413430 194142909 220536264
Case #34: 624 927 1407 2409
Case #35: 6750 7749 9000 12000
Case #36: 96 1602 1857 2121
Case #37: 600 1131 1494 2916
Case #38: 339 1188 1662 2595
Case #39: 13392 21573 28764 38352
Case #40: 2133 3792 12150 21600
Case #41: 83276148 463687656 589632123 646947891
Case #42: 675 1815 1821 2571
Case #43: 615 1374 1701 2490
Case #44: 50739909 166202451 654419241 716126952
Case #45: 282 1692 2010 2589
Case #46: 537 1311 1329 2271
Case #47: 9 240 1527 2160
Case #48: 1035 1203 1557 2037
Case #49: 1566 1617 1947 2583
Case #50: 255 435 939 2637
Case #51: 315005520 454517670 481092108 745789524
Case #52: 783 1044 1392 4914
Case #53: 3915 5220 6960 11637
Case #54: 1290 2250 2376 2649
Case #55: 291 393 402 984
Case #56: 22969674 127158861 191621469 216510117
Case #57: 3 750000000
Case #58: 157341552 366031812 455670051 512328855
Case #59: 207 537 1383 2316
Case #60: 83011671 377726910 444455526 626797734
Case #61: 486 864 14634 26016
Case #62: 17577 26271 31248 46704
Case #63: 342 549 690 2766
Case #64: 228 420 444 2571
Case #65: 3510 9828 13104 17472
Case #66: 1764 2367 2736 2949
Case #67: 32072319 392465136 395554800 420882870
Case #68: 91427643 94362105 120622218 361991298
Case #69: 330 456 687 1350
Case #70: 14067 18756 21654 25008
Case #71: 492 822 1695 2361
Case #72: 375 444 2124 2490
Case #73: 750000000
Case #74: 57081012 247768365 424432815 428733405
Case #75: 9396 12528 16704 23571
Case #76: 10746 18252 19104 32448
Case #77: 159 1575 2430 2778
Case #78: 1341 1494 2958 2970
Case #79: 3
Case #80: 42 174 1464 1797
Case #81: 188406222 624341850 632008797 727629519
Case #82: 4031271 35224005 45977010 720928035
Case #83: 15822 17118 21096 28128
Case #84: 810 852 1182 1458
Case #85: 6534 17442 23256 31008
Case #86: 168 318 2868 2988
Case #87: 606 1038 1065 2712
Case #88: 189 228 1584 2256
Case #89: 10206 16254 18144 28896
Case #90: 96 981 2031 2805
Case #91: 534 849 2517 2562
Case #92: 873 2052 2076 2508
Case #93: 96 258 1251 2226
Case #94: 91832442 162369465 324134055 408603459
Case #95: 49971981 392667168 415063086 467085810
Case #96: 663 882 1509 2844
Case #97: 684 1134 1827 1929
Case #98: 222 1065 1530 2682
Case #99: 5670 10080 22140 39360
Case #100: 777 1569 1680 2550
